Episode,Tick,Avg reward X episode,random-walk,lay-food-pheromone,follow-food-pheromone,follow-nest-pheromone,take-food,drop-food,random-walk-and-lay-food-pheromone,follow-nest-pheromone-and-lay-food-pheromone,has-food-in-nest,has-food-in-nest_random-walk,has-food-in-nest_lay-food-pheromone,has-food-in-nest_follow-food-pheromone,has-food-in-nest_follow-nest-pheromone,has-food-in-nest_take-food,has-food-in-nest_drop-food,has-food-in-nest_random-walk-and-lay-food-pheromone,has-food-in-nest_follow-nest-pheromone-and-lay-food-pheromone,has-food-out-nest,has-food-out-nest_random-walk,has-food-out-nest_lay-food-pheromone,has-food-out-nest_follow-food-pheromone,has-food-out-nest_follow-nest-pheromone,has-food-out-nest_take-food,has-food-out-nest_drop-food,has-food-out-nest_random-walk-and-lay-food-pheromone,has-food-out-nest_follow-nest-pheromone-and-lay-food-pheromone,food-available-in-nest,food-available-in-nest_random-walk,food-available-in-nest_lay-food-pheromone,food-available-in-nest_follow-food-pheromone,food-available-in-nest_follow-nest-pheromone,food-available-in-nest_take-food,food-available-in-nest_drop-food,food-available-in-nest_random-walk-and-lay-food-pheromone,food-available-in-nest_follow-nest-pheromone-and-lay-food-pheromone,food-available-out-nest,food-available-out-nest_random-walk,food-available-out-nest_lay-food-pheromone,food-available-out-nest_follow-food-pheromone,food-available-out-nest_follow-nest-pheromone,food-available-out-nest_take-food,food-available-out-nest_drop-food,food-available-out-nest_random-walk-and-lay-food-pheromone,food-available-out-nest_follow-nest-pheromone-and-lay-food-pheromone,food-not-available,food-not-available_random-walk,food-not-available_lay-food-pheromone,food-not-available_follow-food-pheromone,food-not-available_follow-nest-pheromone,food-not-available_take-food,food-not-available_drop-food,food-not-available_random-walk-and-lay-food-pheromone,food-not-available_follow-nest-pheromone-and-lay-food-pheromone,Epsilon
1,500,-287.66,3099,3119,3021,3203,3166,3078,3140,3174,141,23,17,12,16,18,17,18,20,774,112,87,94,91,88,101,97,104,99,10,14,12,15,17,9,11,11,924,98,122,116,117,104,117,124,126,23062,2856,2879,2787,2964,2939,2834,2890,2913,0.9995
2,1000,-296.48,3125,3148,3077,3163,3076,3209,3161,3041,183,32,20,23,24,17,15,25,27,1349,164,161,142,176,169,176,186,175,101,13,10,16,13,14,17,11,7,1272,174,145,174,146,183,165,153,132,22095,2742,2812,2722,2804,2693,2836,2786,2700,0.999
3,1500,-279.87,3088,3132,3060,3160,3198,3161,3097,3104,149,25,21,20,23,13,12,19,16,891,114,115,97,132,117,99,112,105,85,8,10,7,11,12,14,14,9,1004,119,144,119,112,102,145,123,140,22871,2822,2842,2817,2882,2954,2891,2829,2834,0.9985
4,2000,-324.04,3100,3150,3084,3130,3185,3125,3130,3096,30,2,3,3,4,7,2,2,7,672,88,81,70,88,72,97,83,93,13,3,1,1,1,2,0,4,1,918,112,130,107,107,98,110,112,142,23367,2895,2935,2903,2930,3006,2916,2929,2853,0.998
5,2500,-303.08,3153,3142,3110,3115,3123,3108,3122,3127,102,7,14,10,12,18,16,12,13,989,128,122,132,115,128,125,113,126,54,10,7,4,7,16,1,4,5,1000,118,132,122,123,130,123,126,126,22855,2890,2867,2842,2858,2831,2843,2867,2857,0.9975
