Episode,Tick,Avg reward X episode,random-walk,lay-food-pheromone,follow-food-pheromone,follow-nest-pheromone,take-food,drop-food,random-walk-and-lay-food-pheromone,follow-nest-pheromone-and-lay-food-pheromone,has-food-in-nest,has-food-in-nest_random-walk,has-food-in-nest_lay-food-pheromone,has-food-in-nest_follow-food-pheromone,has-food-in-nest_follow-nest-pheromone,has-food-in-nest_take-food,has-food-in-nest_drop-food,has-food-in-nest_random-walk-and-lay-food-pheromone,has-food-in-nest_follow-nest-pheromone-and-lay-food-pheromone,has-food-out-nest,has-food-out-nest_random-walk,has-food-out-nest_lay-food-pheromone,has-food-out-nest_follow-food-pheromone,has-food-out-nest_follow-nest-pheromone,has-food-out-nest_take-food,has-food-out-nest_drop-food,has-food-out-nest_random-walk-and-lay-food-pheromone,has-food-out-nest_follow-nest-pheromone-and-lay-food-pheromone,food-available-in-nest,food-available-in-nest_random-walk,food-available-in-nest_lay-food-pheromone,food-available-in-nest_follow-food-pheromone,food-available-in-nest_follow-nest-pheromone,food-available-in-nest_take-food,food-available-in-nest_drop-food,food-available-in-nest_random-walk-and-lay-food-pheromone,food-available-in-nest_follow-nest-pheromone-and-lay-food-pheromone,food-available-out-nest,food-available-out-nest_random-walk,food-available-out-nest_lay-food-pheromone,food-available-out-nest_follow-food-pheromone,food-available-out-nest_follow-nest-pheromone,food-available-out-nest_take-food,food-available-out-nest_drop-food,food-available-out-nest_random-walk-and-lay-food-pheromone,food-available-out-nest_follow-nest-pheromone-and-lay-food-pheromone,food-not-available,food-not-available_random-walk,food-not-available_lay-food-pheromone,food-not-available_follow-food-pheromone,food-not-available_follow-nest-pheromone,food-not-available_take-food,food-not-available_drop-food,food-not-available_random-walk-and-lay-food-pheromone,food-not-available_follow-nest-pheromone-and-lay-food-pheromone,Epsilon
1,500,-286.15,11959,0,11822,502,91,91,0,535,91,0,0,0,0,0,91,0,0,1037,0,0,0,502,0,0,0,535,276,145,0,131,0,0,0,0,0,91,0,0,0,0,91,0,0,0,23505,11814,0,11691,0,0,0,0,0,0.9995
2,1000,55.62,11847,0,11841,527,97,97,0,591,97,0,0,0,0,0,97,0,0,1118,0,0,0,527,0,0,0,591,220,104,0,116,0,0,0,0,0,97,0,0,0,0,97,0,0,0,23468,11743,0,11725,0,0,0,0,0,0.999
3,1500,-95.58,11756,0,11848,595,100,100,0,601,100,0,0,0,0,0,100,0,0,1196,0,0,0,595,0,0,0,601,302,153,0,149,0,0,0,0,0,100,0,0,0,0,100,0,0,0,23302,11603,0,11699,0,0,0,0,0,0.9985
4,2000,90.68,11818,0,11907,556,94,94,0,531,94,0,0,0,0,0,94,0,0,1087,0,0,0,556,0,0,0,531,289,144,0,145,0,0,0,0,0,94,0,0,0,0,94,0,0,0,23436,11674,0,11762,0,0,0,0,0,0.998
5,2500,322.87,11810,0,11845,562,99,99,0,585,99,0,0,0,0,0,99,0,0,1147,0,0,0,562,0,0,0,585,320,166,0,154,0,0,0,0,0,99,0,0,0,0,99,0,0,0,23335,11644,0,11691,0,0,0,0,0,0.9975
6,3000,179.28,11763,0,11854,594,100,100,0,589,100,0,0,0,0,0,100,0,0,1183,0,0,0,594,0,0,0,589,323,164,0,159,0,0,0,0,0,100,0,0,0,0,100,0,0,0,23294,11599,0,11695,0,0,0,0,0,0.997
7,3500,-497.02,11922,0,11835,533,91,91,0,528,91,0,0,0,0,0,91,0,0,1061,0,0,0,533,0,0,0,528,358,193,0,165,0,0,0,0,0,91,0,0,0,0,91,0,0,0,23399,11729,0,11670,0,0,0,0,0,0.9965
8,4000,17.12,11774,0,11912,571,95,95,0,553,95,0,0,0,0,0,95,0,0,1124,0,0,0,571,0,0,0,553,259,124,0,135,0,0,0,0,0,95,0,0,0,0,95,0,0,0,23427,11650,0,11777,0,0,0,0,0,0.996
9,4500,-707.92,11967,0,11867,495,87,87,0,497,87,0,0,0,0,0,87,0,0,992,0,0,0,495,0,0,0,497,305,160,0,145,0,0,0,0,0,87,0,0,0,0,87,0,0,0,23529,11807,0,11722,0,0,0,0,0,0.9955
10,5000,-68.62,11870,0,11856,539,96,96,0,543,96,0,0,0,0,0,96,0,0,1082,0,0,0,539,0,0,0,543,322,167,0,155,0,0,0,0,0,96,0,0,0,0,96,0,0,0,23404,11703,0,11701,0,0,0,0,0,0.995
11,5500,334.33,11995,0,11687,545,99,99,0,575,99,0,0,0,0,0,99,0,0,1120,0,0,0,545,0,0,0,575,278,144,0,134,0,0,0,0,0,99,0,0,0,0,99,0,0,0,23404,11851,0,11553,0,0,0,0,0,0.9945
12,6000,156.8,11759,0,11909,580,98,98,0,556,98,0,0,0,0,0,98,0,0,1136,0,0,0,580,0,0,0,556,234,111,0,123,0,0,0,0,0,98,0,0,0,0,98,0,0,0,23434,11648,0,11786,0,0,0,0,0,0.994
13,6500,-411.12,11841,0,11924,545,91,91,0,508,91,0,0,0,0,0,91,0,0,1053,0,0,0,545,0,0,0,508,256,127,0,129,0,0,0,0,0,91,0,0,0,0,91,0,0,0,23509,11714,0,11795,0,0,0,0,0,0.9935
14,7000,-48.84,11807,0,11915,560,95,95,0,528,95,0,0,0,0,0,95,0,0,1088,0,0,0,560,0,0,0,528,293,128,0,165,0,0,0,0,0,95,0,0,0,0,95,0,0,0,23429,11679,0,11750,0,0,0,0,0,0.993
15,7500,-365.71,11826,0,11906,551,93,93,0,531,93,0,0,0,0,0,93,0,0,1082,0,0,0,551,0,0,0,531,382,186,0,196,0,0,0,0,0,93,0,0,0,0,93,0,0,0,23350,11640,0,11710,0,0,0,0,0,0.9925
16,8000,-266.85,11893,0,11819,577,93,93,0,525,93,0,0,0,0,0,93,0,0,1102,0,0,0,577,0,0,0,525,321,166,0,155,0,0,0,0,0,93,0,0,0,0,93,0,0,0,23391,11727,0,11664,0,0,0,0,0,0.992
17,8500,93.09,11775,0,11922,542,96,96,0,569,96,0,0,0,0,0,96,0,0,1111,0,0,0,542,0,0,0,569,307,175,0,132,0,0,0,0,0,96,0,0,0,0,96,0,0,0,23390,11600,0,11790,0,0,0,0,0,0.9915
18,9000,-254.16,11804,0,11873,592,95,95,0,541,95,0,0,0,0,0,95,0,0,1133,0,0,0,592,0,0,0,541,289,147,0,142,0,0,0,0,0,95,0,0,0,0,95,0,0,0,23388,11657,0,11731,0,0,0,0,0,0.991
19,9500,109.23,11837,0,11837,559,98,98,0,571,98,0,0,0,0,0,98,0,0,1130,0,0,0,559,0,0,0,571,342,151,0,191,0,0,0,0,0,98,0,0,0,0,98,0,0,0,23332,11686,0,11646,0,0,0,0,0,0.9905
20,10000,-427.85,11866,0,11909,538,90,90,0,507,90,0,0,0,0,0,90,0,0,1045,0,0,0,538,0,0,0,507,277,155,0,122,0,0,0,0,0,90,0,0,0,0,90,0,0,0,23498,11711,0,11787,0,0,0,0,0,0.99
21,10500,-55.96,11978,0,11788,516,92,92,0,534,92,0,0,0,0,0,92,0,0,1050,0,0,0,516,0,0,0,534,260,134,0,126,0,0,0,0,0,92,0,0,0,0,92,0,0,0,23506,11844,0,11662,0,0,0,0,0,0.9896
22,11000,-462.16,12073,0,11668,541,96,96,0,526,96,0,0,0,0,0,96,0,0,1067,0,0,0,541,0,0,0,526,333,157,0,176,0,0,0,0,0,96,0,0,0,0,96,0,0,0,23408,11916,0,11492,0,0,0,0,0,0.9891
