Episode,Tick,Avg reward X episode,random-walk,lay-food-pheromone,follow-food-pheromone,follow-nest-pheromone,take-food,drop-food,random-walk-and-lay-food-pheromone,follow-nest-pheromone-and-lay-food-pheromone,has-food-in-nest,has-food-in-nest_random-walk,has-food-in-nest_lay-food-pheromone,has-food-in-nest_follow-food-pheromone,has-food-in-nest_follow-nest-pheromone,has-food-in-nest_take-food,has-food-in-nest_drop-food,has-food-in-nest_random-walk-and-lay-food-pheromone,has-food-in-nest_follow-nest-pheromone-and-lay-food-pheromone,has-food-out-nest,has-food-out-nest_random-walk,has-food-out-nest_lay-food-pheromone,has-food-out-nest_follow-food-pheromone,has-food-out-nest_follow-nest-pheromone,has-food-out-nest_take-food,has-food-out-nest_drop-food,has-food-out-nest_random-walk-and-lay-food-pheromone,has-food-out-nest_follow-nest-pheromone-and-lay-food-pheromone,food-available-in-nest,food-available-in-nest_random-walk,food-available-in-nest_lay-food-pheromone,food-available-in-nest_follow-food-pheromone,food-available-in-nest_follow-nest-pheromone,food-available-in-nest_take-food,food-available-in-nest_drop-food,food-available-in-nest_random-walk-and-lay-food-pheromone,food-available-in-nest_follow-nest-pheromone-and-lay-food-pheromone,food-available-out-nest,food-available-out-nest_random-walk,food-available-out-nest_lay-food-pheromone,food-available-out-nest_follow-food-pheromone,food-available-out-nest_follow-nest-pheromone,food-available-out-nest_take-food,food-available-out-nest_drop-food,food-available-out-nest_random-walk-and-lay-food-pheromone,food-available-out-nest_follow-nest-pheromone-and-lay-food-pheromone,food-not-available,food-not-available_random-walk,food-not-available_lay-food-pheromone,food-not-available_follow-food-pheromone,food-not-available_follow-nest-pheromone,food-not-available_take-food,food-not-available_drop-food,food-not-available_random-walk-and-lay-food-pheromone,food-not-available_follow-nest-pheromone-and-lay-food-pheromone,Epsilon
1,242,-0.24,5445,0,5369,502,91,91,0,535,91,0,0,0,0,0,91,0,0,1037,0,0,0,502,0,0,0,535,193,98,0,95,0,0,0,0,0,91,0,0,0,0,91,0,0,0,10621,5347,0,5274,0,0,0,0,0,0.9995
2,654,-0.4,7486,0,7510,560,97,97,0,545,97,0,0,0,0,0,97,0,0,1105,0,0,0,560,0,0,0,545,261,128,0,133,0,0,0,0,0,97,0,0,0,0,97,0,0,0,14735,7358,0,7377,0,0,0,0,0,0.999
3,861,-0.33,6442,0,6528,557,96,96,0,558,96,0,0,0,0,0,96,0,0,1115,0,0,0,557,0,0,0,558,237,127,0,110,0,0,0,0,0,96,0,0,0,0,96,0,0,0,12733,6315,0,6418,0,0,0,0,0,0.9985
4,1264,-0.38,7105,0,7258,574,97,97,0,572,97,0,0,0,0,0,97,0,0,1146,0,0,0,574,0,0,0,572,243,117,0,126,0,0,0,0,0,97,0,0,0,0,97,0,0,0,14120,6988,0,7132,0,0,0,0,0,0.998
5,1645,-0.43,7551,0,7561,558,93,93,0,538,93,0,0,0,0,0,93,0,0,1096,0,0,0,558,0,0,0,538,215,110,0,105,0,0,0,0,0,93,0,0,0,0,93,0,0,0,14897,7441,0,7456,0,0,0,0,0,0.9975
6,1740,-0.36,6593,0,6603,497,92,92,0,559,92,0,0,0,0,0,92,0,0,1056,0,0,0,497,0,0,0,559,207,103,0,104,0,0,0,0,0,92,0,0,0,0,92,0,0,0,12989,6490,0,6499,0,0,0,0,0,0.997
7,2373,-0.42,7774,0,7783,585,98,98,0,553,98,0,0,0,0,0,98,0,0,1138,0,0,0,585,0,0,0,553,231,116,0,115,0,0,0,0,0,98,0,0,0,0,98,0,0,0,15326,7658,0,7668,0,0,0,0,0,0.9965
8,3632,-0.57,10637,0,10674,530,96,96,0,574,96,0,0,0,0,0,96,0,0,1104,0,0,0,530,0,0,0,574,304,151,0,153,0,0,0,0,0,96,0,0,0,0,96,0,0,0,21007,10486,0,10521,0,0,0,0,0,0.996
9,2592,-0.34,6403,0,6600,525,94,94,0,585,94,0,0,0,0,0,94,0,0,1110,0,0,0,525,0,0,0,585,207,113,0,94,0,0,0,0,0,94,0,0,0,0,94,0,0,0,12796,6290,0,6506,0,0,0,0,0,0.9955
10,2850,-0.29,6439,0,6401,592,100,100,0,552,100,0,0,0,0,0,100,0,0,1144,0,0,0,592,0,0,0,552,227,112,0,115,0,0,0,0,0,100,0,0,0,0,100,0,0,0,12613,6327,0,6286,0,0,0,0,0,0.995
