Episode,Tick,Avg reward X episode,random-walk,lay-food-pheromone,follow-food-pheromone,follow-nest-pheromone,take-food,drop-food,random-walk-and-lay-food-pheromone,follow-nest-pheromone-and-lay-food-pheromone,has-food-in-nest,has-food-in-nest_random-walk,has-food-in-nest_lay-food-pheromone,has-food-in-nest_follow-food-pheromone,has-food-in-nest_follow-nest-pheromone,has-food-in-nest_take-food,has-food-in-nest_drop-food,has-food-in-nest_random-walk-and-lay-food-pheromone,has-food-in-nest_follow-nest-pheromone-and-lay-food-pheromone,has-food-out-nest,has-food-out-nest_random-walk,has-food-out-nest_lay-food-pheromone,has-food-out-nest_follow-food-pheromone,has-food-out-nest_follow-nest-pheromone,has-food-out-nest_take-food,has-food-out-nest_drop-food,has-food-out-nest_random-walk-and-lay-food-pheromone,has-food-out-nest_follow-nest-pheromone-and-lay-food-pheromone,food-available-in-nest,food-available-in-nest_random-walk,food-available-in-nest_lay-food-pheromone,food-available-in-nest_follow-food-pheromone,food-available-in-nest_follow-nest-pheromone,food-available-in-nest_take-food,food-available-in-nest_drop-food,food-available-in-nest_random-walk-and-lay-food-pheromone,food-available-in-nest_follow-nest-pheromone-and-lay-food-pheromone,food-available-out-nest,food-available-out-nest_random-walk,food-available-out-nest_lay-food-pheromone,food-available-out-nest_follow-food-pheromone,food-available-out-nest_follow-nest-pheromone,food-available-out-nest_take-food,food-available-out-nest_drop-food,food-available-out-nest_random-walk-and-lay-food-pheromone,food-available-out-nest_follow-nest-pheromone-and-lay-food-pheromone,food-not-available,food-not-available_random-walk,food-not-available_lay-food-pheromone,food-not-available_follow-food-pheromone,food-not-available_follow-nest-pheromone,food-not-available_take-food,food-not-available_drop-food,food-not-available_random-walk-and-lay-food-pheromone,food-not-available_follow-nest-pheromone-and-lay-food-pheromone,Epsilon
1,500,-199.17,3099,3119,3021,3203,3166,3078,3140,3174,141,23,17,12,16,18,17,18,20,774,112,87,94,91,88,101,97,104,99,10,14,12,15,17,9,11,11,924,98,122,116,117,104,117,124,126,23062,2856,2879,2787,2964,2939,2834,2890,2913,0.9995
2,1000,-206.16,3125,3148,3077,3163,3076,3209,3161,3041,183,32,20,23,24,17,15,25,27,1349,164,161,142,176,169,176,186,175,101,13,10,16,13,14,17,11,7,1272,174,145,174,146,183,165,153,132,22095,2742,2812,2722,2804,2693,2836,2786,2700,0.999
3,1500,-188.76,3096,3161,3031,3161,3168,3175,3080,3128,100,6,14,12,16,14,14,6,18,1056,140,141,116,124,128,123,147,137,116,10,19,9,19,11,15,18,15,1012,124,128,112,129,129,150,115,125,22716,2816,2859,2782,2873,2886,2873,2794,2833,0.9985
4,2000,-203.0,3141,3151,3083,3102,3168,3147,3104,3104,81,10,11,10,11,11,10,5,13,824,110,105,99,94,111,112,94,99,82,12,15,12,6,9,8,5,15,947,116,116,107,130,115,132,121,110,23066,2893,2904,2855,2861,2922,2885,2879,2867,0.998
5,2500,-185.96,3152,3164,3114,3106,3146,3093,3097,3128,139,18,18,15,16,22,14,21,15,1198,152,147,157,131,154,155,157,145,111,16,20,12,10,13,13,14,13,1175,152,161,137,150,160,137,142,136,22377,2814,2818,2793,2799,2797,2774,2763,2819,0.9975
