Episode,Tick,Avg reward X episode,random-walk,lay-food-pheromone,follow-food-pheromone,follow-nest-pheromone,take-food,drop-food,random-walk-and-lay-food-pheromone,follow-nest-pheromone-and-lay-food-pheromone,has-food-in-nest,has-food-in-nest_random-walk,has-food-in-nest_lay-food-pheromone,has-food-in-nest_follow-food-pheromone,has-food-in-nest_follow-nest-pheromone,has-food-in-nest_take-food,has-food-in-nest_drop-food,has-food-in-nest_random-walk-and-lay-food-pheromone,has-food-in-nest_follow-nest-pheromone-and-lay-food-pheromone,has-food-out-nest,has-food-out-nest_random-walk,has-food-out-nest_lay-food-pheromone,has-food-out-nest_follow-food-pheromone,has-food-out-nest_follow-nest-pheromone,has-food-out-nest_take-food,has-food-out-nest_drop-food,has-food-out-nest_random-walk-and-lay-food-pheromone,has-food-out-nest_follow-nest-pheromone-and-lay-food-pheromone,food-available-in-nest,food-available-in-nest_random-walk,food-available-in-nest_lay-food-pheromone,food-available-in-nest_follow-food-pheromone,food-available-in-nest_follow-nest-pheromone,food-available-in-nest_take-food,food-available-in-nest_drop-food,food-available-in-nest_random-walk-and-lay-food-pheromone,food-available-in-nest_follow-nest-pheromone-and-lay-food-pheromone,food-available-out-nest,food-available-out-nest_random-walk,food-available-out-nest_lay-food-pheromone,food-available-out-nest_follow-food-pheromone,food-available-out-nest_follow-nest-pheromone,food-available-out-nest_take-food,food-available-out-nest_drop-food,food-available-out-nest_random-walk-and-lay-food-pheromone,food-available-out-nest_follow-nest-pheromone-and-lay-food-pheromone,food-not-available,food-not-available_random-walk,food-not-available_lay-food-pheromone,food-not-available_follow-food-pheromone,food-not-available_follow-nest-pheromone,food-not-available_take-food,food-not-available_drop-food,food-not-available_random-walk-and-lay-food-pheromone,food-not-available_follow-nest-pheromone-and-lay-food-pheromone,Epsilon
1,500,6364.67,11922,0,11866,532,91,91,0,498,91,0,0,0,0,0,91,0,0,1030,0,0,0,532,0,0,0,498,289,144,0,145,0,0,0,0,0,91,0,0,0,0,91,0,0,0,23499,11778,0,11721,0,0,0,0,0,0.9995
2,1000,6405.21,11903,0,11912,488,89,89,0,519,89,0,0,0,0,0,89,0,0,1007,0,0,0,488,0,0,0,519,294,143,0,151,0,0,0,0,0,89,0,0,0,0,89,0,0,0,23521,11760,0,11761,0,0,0,0,0,0.999
3,1500,6826.2,11809,0,11970,526,93,93,0,509,93,0,0,0,0,0,93,0,0,1035,0,0,0,526,0,0,0,509,296,132,0,164,0,0,0,0,0,93,0,0,0,0,93,0,0,0,23483,11677,0,11806,0,0,0,0,0,0.9985
4,2000,6696.83,11832,0,11922,545,92,92,0,517,92,0,0,0,0,0,92,0,0,1062,0,0,0,545,0,0,0,517,313,144,0,169,0,0,0,0,0,92,0,0,0,0,92,0,0,0,23441,11688,0,11753,0,0,0,0,0,0.998
5,2500,6918.66,11766,0,11951,542,92,92,0,557,92,0,0,0,0,0,92,0,0,1099,0,0,0,542,0,0,0,557,333,183,0,150,0,0,0,0,0,92,0,0,0,0,92,0,0,0,23384,11583,0,11801,0,0,0,0,0,0.9975
6,3000,7009.78,11820,0,11843,551,100,100,0,586,100,0,0,0,0,0,100,0,0,1137,0,0,0,551,0,0,0,586,340,177,0,163,0,0,0,0,0,100,0,0,0,0,100,0,0,0,23323,11643,0,11680,0,0,0,0,0,0.997
7,3500,7461.49,11819,0,11823,545,101,101,0,611,101,0,0,0,0,0,101,0,0,1156,0,0,0,545,0,0,0,611,295,156,0,139,0,0,0,0,0,101,0,0,0,0,101,0,0,0,23347,11663,0,11684,0,0,0,0,0,0.9965
8,4000,6768.16,11792,0,11954,533,94,94,0,533,94,0,0,0,0,0,94,0,0,1066,0,0,0,533,0,0,0,533,289,145,0,144,0,0,0,0,0,94,0,0,0,0,94,0,0,0,23457,11647,0,11810,0,0,0,0,0,0.996
9,4500,6943.38,11857,0,11845,572,95,95,0,536,95,0,0,0,0,0,95,0,0,1108,0,0,0,572,0,0,0,536,315,158,0,157,0,0,0,0,0,95,0,0,0,0,95,0,0,0,23387,11699,0,11688,0,0,0,0,0,0.9955
10,5000,6820.79,11866,0,11867,552,95,95,0,525,95,0,0,0,0,0,95,0,0,1077,0,0,0,552,0,0,0,525,306,156,0,150,0,0,0,0,0,95,0,0,0,0,95,0,0,0,23427,11710,0,11717,0,0,0,0,0,0.995
11,5500,7208.17,12023,0,11697,543,96,96,0,545,96,0,0,0,0,0,96,0,0,1088,0,0,0,543,0,0,0,545,262,132,0,130,0,0,0,0,0,96,0,0,0,0,96,0,0,0,23458,11891,0,11567,0,0,0,0,0,0.9945
12,6000,6800.38,11796,0,11912,572,92,92,0,536,92,0,0,0,0,0,92,0,0,1108,0,0,0,572,0,0,0,536,300,139,0,161,0,0,0,0,0,92,0,0,0,0,92,0,0,0,23408,11657,0,11751,0,0,0,0,0,0.994
13,6500,7336.52,11866,0,11803,550,98,98,0,585,98,0,0,0,0,0,98,0,0,1135,0,0,0,550,0,0,0,585,327,172,0,155,0,0,0,0,0,98,0,0,0,0,98,0,0,0,23342,11694,0,11648,0,0,0,0,0,0.9935
14,7000,7289.22,11893,0,11806,528,97,97,0,579,97,0,0,0,0,0,97,0,0,1107,0,0,0,528,0,0,0,579,251,126,0,125,0,0,0,0,0,97,0,0,0,0,97,0,0,0,23448,11767,0,11681,0,0,0,0,0,0.993
15,7500,6838.95,11859,0,11883,566,92,92,0,508,92,0,0,0,0,0,92,0,0,1074,0,0,0,566,0,0,0,508,300,153,0,147,0,0,0,0,0,92,0,0,0,0,92,0,0,0,23442,11706,0,11736,0,0,0,0,0,0.9925
