Episode,Tick,Avg reward X episode,random-walk,lay-food-pheromone,follow-food-pheromone,follow-nest-pheromone,take-food,drop-food,random-walk-and-lay-food-pheromone,follow-nest-pheromone-and-lay-food-pheromone,has-food-in-nest,has-food-in-nest_random-walk,has-food-in-nest_lay-food-pheromone,has-food-in-nest_follow-food-pheromone,has-food-in-nest_follow-nest-pheromone,has-food-in-nest_take-food,has-food-in-nest_drop-food,has-food-in-nest_random-walk-and-lay-food-pheromone,has-food-in-nest_follow-nest-pheromone-and-lay-food-pheromone,has-food-out-nest,has-food-out-nest_random-walk,has-food-out-nest_lay-food-pheromone,has-food-out-nest_follow-food-pheromone,has-food-out-nest_follow-nest-pheromone,has-food-out-nest_take-food,has-food-out-nest_drop-food,has-food-out-nest_random-walk-and-lay-food-pheromone,has-food-out-nest_follow-nest-pheromone-and-lay-food-pheromone,food-available-in-nest,food-available-in-nest_random-walk,food-available-in-nest_lay-food-pheromone,food-available-in-nest_follow-food-pheromone,food-available-in-nest_follow-nest-pheromone,food-available-in-nest_take-food,food-available-in-nest_drop-food,food-available-in-nest_random-walk-and-lay-food-pheromone,food-available-in-nest_follow-nest-pheromone-and-lay-food-pheromone,food-available-out-nest,food-available-out-nest_random-walk,food-available-out-nest_lay-food-pheromone,food-available-out-nest_follow-food-pheromone,food-available-out-nest_follow-nest-pheromone,food-available-out-nest_take-food,food-available-out-nest_drop-food,food-available-out-nest_random-walk-and-lay-food-pheromone,food-available-out-nest_follow-nest-pheromone-and-lay-food-pheromone,food-not-available,food-not-available_random-walk,food-not-available_lay-food-pheromone,food-not-available_follow-food-pheromone,food-not-available_follow-nest-pheromone,food-not-available_take-food,food-not-available_drop-food,food-not-available_random-walk-and-lay-food-pheromone,food-not-available_follow-nest-pheromone-and-lay-food-pheromone,Epsilon
1,500,-248.92,3099,3119,3021,3203,3166,3078,3140,3174,141,23,17,12,16,18,17,18,20,774,112,87,94,91,88,101,97,104,99,10,14,12,15,17,9,11,11,924,98,122,116,117,104,117,124,126,23062,2856,2879,2787,2964,2939,2834,2890,2913,0.9995
2,1000,-249.01,3125,3148,3077,3163,3076,3209,3161,3041,183,32,20,23,24,17,15,25,27,1349,164,161,142,176,169,176,186,175,101,13,10,16,13,14,17,11,7,1272,174,145,174,146,183,165,153,132,22095,2742,2812,2722,2804,2693,2836,2786,2700,0.999
3,1500,-248.93,3115,3140,3040,3152,3173,3181,3086,3113,131,19,18,21,9,15,16,13,20,872,109,120,101,114,109,108,103,108,84,15,5,4,12,16,8,11,13,942,116,128,122,126,112,115,108,115,22971,2856,2869,2792,2891,2921,2934,2851,2857,0.9985
4,2000,-248.86,3089,3126,3107,3150,3160,3149,3115,3104,164,24,23,23,18,20,20,12,24,992,126,130,117,131,129,120,116,123,114,9,16,16,8,20,16,7,22,902,103,114,126,101,121,114,106,117,22828,2827,2843,2825,2892,2870,2879,2874,2818,0.998
5,2500,-249.1,3203,3152,3117,3097,3117,3119,3107,3088,108,12,6,18,10,14,10,20,18,1100,156,153,136,134,129,125,128,139,51,9,5,6,7,9,6,0,9,1061,135,150,142,131,128,117,125,133,22680,2891,2838,2815,2815,2837,2861,2834,2789,0.9975
