Episode,Tick,Avg reward X episode,random-walk,lay-food-pheromone,follow-food-pheromone,follow-nest-pheromone,take-food,drop-food,random-walk-and-lay-food-pheromone,follow-nest-pheromone-and-lay-food-pheromone,has-food-in-nest,has-food-in-nest_random-walk,has-food-in-nest_lay-food-pheromone,has-food-in-nest_follow-food-pheromone,has-food-in-nest_follow-nest-pheromone,has-food-in-nest_take-food,has-food-in-nest_drop-food,has-food-in-nest_random-walk-and-lay-food-pheromone,has-food-in-nest_follow-nest-pheromone-and-lay-food-pheromone,has-food-out-nest,has-food-out-nest_random-walk,has-food-out-nest_lay-food-pheromone,has-food-out-nest_follow-food-pheromone,has-food-out-nest_follow-nest-pheromone,has-food-out-nest_take-food,has-food-out-nest_drop-food,has-food-out-nest_random-walk-and-lay-food-pheromone,has-food-out-nest_follow-nest-pheromone-and-lay-food-pheromone,food-available-in-nest,food-available-in-nest_random-walk,food-available-in-nest_lay-food-pheromone,food-available-in-nest_follow-food-pheromone,food-available-in-nest_follow-nest-pheromone,food-available-in-nest_take-food,food-available-in-nest_drop-food,food-available-in-nest_random-walk-and-lay-food-pheromone,food-available-in-nest_follow-nest-pheromone-and-lay-food-pheromone,food-available-out-nest,food-available-out-nest_random-walk,food-available-out-nest_lay-food-pheromone,food-available-out-nest_follow-food-pheromone,food-available-out-nest_follow-nest-pheromone,food-available-out-nest_take-food,food-available-out-nest_drop-food,food-available-out-nest_random-walk-and-lay-food-pheromone,food-available-out-nest_follow-nest-pheromone-and-lay-food-pheromone,food-not-available,food-not-available_random-walk,food-not-available_lay-food-pheromone,food-not-available_follow-food-pheromone,food-not-available_follow-nest-pheromone,food-not-available_take-food,food-not-available_drop-food,food-not-available_random-walk-and-lay-food-pheromone,food-not-available_follow-nest-pheromone-and-lay-food-pheromone,Epsilon
1,242,1492.42,5445,0,5369,502,91,91,0,535,91,0,0,0,0,0,91,0,0,1037,0,0,0,502,0,0,0,535,193,98,0,95,0,0,0,0,0,91,0,0,0,0,91,0,0,0,10621,5347,0,5274,0,0,0,0,0,0.9995
2,654,2508.23,7486,0,7510,560,97,97,0,545,97,0,0,0,0,0,97,0,0,1105,0,0,0,560,0,0,0,545,261,128,0,133,0,0,0,0,0,97,0,0,0,0,97,0,0,0,14735,7358,0,7377,0,0,0,0,0,0.999
3,828,2321.31,6167,0,6226,575,96,96,0,544,96,0,0,0,0,0,96,0,0,1119,0,0,0,575,0,0,0,544,212,111,0,101,0,0,0,0,0,96,0,0,0,0,96,0,0,0,12181,6056,0,6125,0,0,0,0,0,0.9985
4,1172,1772.5,6574,0,6666,544,98,98,0,574,98,0,0,0,0,0,98,0,0,1118,0,0,0,544,0,0,0,574,277,137,0,140,0,0,0,0,0,98,0,0,0,0,98,0,0,0,12963,6437,0,6526,0,0,0,0,0,0.998
5,1780,2380.4,8142,0,8204,567,102,102,0,589,102,0,0,0,0,0,102,0,0,1156,0,0,0,567,0,0,0,589,248,126,0,122,0,0,0,0,0,102,0,0,0,0,102,0,0,0,16098,8016,0,8082,0,0,0,0,0,0.9975
6,1482,1547.56,5457,0,5479,562,102,102,0,591,102,0,0,0,0,0,102,0,0,1153,0,0,0,562,0,0,0,591,243,119,0,124,0,0,0,0,0,102,0,0,0,0,102,0,0,0,10693,5338,0,5355,0,0,0,0,0,0.997
7,2177,2169.44,7151,0,7160,518,88,88,0,487,88,0,0,0,0,0,88,0,0,1005,0,0,0,518,0,0,0,487,231,113,0,118,0,0,0,0,0,88,0,0,0,0,88,0,0,0,14080,7038,0,7042,0,0,0,0,0,0.9965
8,2336,2139.59,6720,0,6635,507,88,88,0,497,88,0,0,0,0,0,88,0,0,1004,0,0,0,507,0,0,0,497,234,119,0,115,0,0,0,0,0,88,0,0,0,0,88,0,0,0,13121,6601,0,6520,0,0,0,0,0,0.996
9,2277,2176.83,5627,0,5725,550,92,92,0,509,92,0,0,0,0,0,92,0,0,1059,0,0,0,550,0,0,0,509,192,87,0,105,0,0,0,0,0,92,0,0,0,0,92,0,0,0,11160,5540,0,5620,0,0,0,0,0,0.9955
10,2970,2272.58,6654,0,6883,503,89,89,0,542,89,0,0,0,0,0,89,0,0,1045,0,0,0,503,0,0,0,542,193,88,0,105,0,0,0,0,0,89,0,0,0,0,89,0,0,0,13344,6566,0,6778,0,0,0,0,0,0.995
11,3212,1713.76,6625,0,6583,569,98,98,0,561,98,0,0,0,0,0,98,0,0,1130,0,0,0,569,0,0,0,561,206,103,0,103,0,0,0,0,0,98,0,0,0,0,98,0,0,0,13002,6522,0,6480,0,0,0,0,0,0.9945
12,3420,2175.7,6485,0,6423,530,93,93,0,556,93,0,0,0,0,0,93,0,0,1086,0,0,0,530,0,0,0,556,229,111,0,118,0,0,0,0,0,93,0,0,0,0,93,0,0,0,12679,6374,0,6305,0,0,0,0,0,0.994
13,3601,1842.43,6299,0,6299,526,88,88,0,495,88,0,0,0,0,0,88,0,0,1021,0,0,0,526,0,0,0,495,223,102,0,121,0,0,0,0,0,88,0,0,0,0,88,0,0,0,12375,6197,0,6178,0,0,0,0,0,0.9935
14,3556,1954.35,5612,0,5711,553,96,96,0,582,96,0,0,0,0,0,96,0,0,1135,0,0,0,553,0,0,0,582,213,104,0,109,0,0,0,0,0,96,0,0,0,0,96,0,0,0,11110,5508,0,5602,0,0,0,0,0,0.993
15,4770,1754.31,7295,0,7274,545,95,95,0,540,95,0,0,0,0,0,95,0,0,1085,0,0,0,545,0,0,0,540,212,104,0,108,0,0,0,0,0,95,0,0,0,0,95,0,0,0,14357,7191,0,7166,0,0,0,0,0,0.9925
16,4000,1941.78,5579,0,5569,549,96,96,0,530,96,0,0,0,0,0,96,0,0,1079,0,0,0,549,0,0,0,530,211,94,0,117,0,0,0,0,0,96,0,0,0,0,96,0,0,0,10937,5485,0,5452,0,0,0,0,0,0.992
17,6018,2179.63,8181,0,8140,547,96,96,0,560,96,0,0,0,0,0,96,0,0,1107,0,0,0,547,0,0,0,560,283,175,0,108,0,0,0,0,0,96,0,0,0,0,96,0,0,0,16038,8006,0,8032,0,0,0,0,0,0.9915
18,5796,2859.51,7358,0,7379,558,93,93,0,531,93,0,0,0,0,0,93,0,0,1089,0,0,0,558,0,0,0,531,210,99,0,111,0,0,0,0,0,93,0,0,0,0,93,0,0,0,14527,7259,0,7268,0,0,0,0,0,0.991
19,4522,2139.1,5342,0,5171,551,97,97,0,555,97,0,0,0,0,0,97,0,0,1106,0,0,0,551,0,0,0,555,219,112,0,107,0,0,0,0,0,97,0,0,0,0,97,0,0,0,10294,5230,0,5064,0,0,0,0,0,0.9905
20,4880,2173.04,5362,0,5315,610,103,103,0,610,103,0,0,0,0,0,103,0,0,1220,0,0,0,610,0,0,0,610,197,110,0,87,0,0,0,0,0,103,0,0,0,0,103,0,0,0,10480,5252,0,5228,0,0,0,0,0,0.99
21,5481,1644.65,5816,0,5909,523,91,91,0,528,91,0,0,0,0,0,91,0,0,1051,0,0,0,523,0,0,0,528,200,97,0,103,0,0,0,0,0,91,0,0,0,0,91,0,0,0,11525,5719,0,5806,0,0,0,0,0,0.9896
22,5236,1992.57,5266,0,5360,494,87,87,0,512,87,0,0,0,0,0,87,0,0,1006,0,0,0,494,0,0,0,512,203,98,0,105,0,0,0,0,0,87,0,0,0,0,87,0,0,0,10423,5168,0,5255,0,0,0,0,0,0.9891
23,8947,4461.08,9055,0,8995,575,95,95,0,554,95,0,0,0,0,0,95,0,0,1129,0,0,0,575,0,0,0,554,296,148,0,148,0,0,0,0,0,95,0,0,0,0,95,0,0,0,17754,8907,0,8847,0,0,0,0,0,0.9886
