Episode,Tick,Avg reward X episode,random-walk,lay-food-pheromone,follow-food-pheromone,follow-nest-pheromone,take-food,drop-food,random-walk-and-lay-food-pheromone,follow-nest-pheromone-and-lay-food-pheromone,has-food-in-nest,has-food-in-nest_random-walk,has-food-in-nest_lay-food-pheromone,has-food-in-nest_follow-food-pheromone,has-food-in-nest_follow-nest-pheromone,has-food-in-nest_take-food,has-food-in-nest_drop-food,has-food-in-nest_random-walk-and-lay-food-pheromone,has-food-in-nest_follow-nest-pheromone-and-lay-food-pheromone,has-food-out-nest,has-food-out-nest_random-walk,has-food-out-nest_lay-food-pheromone,has-food-out-nest_follow-food-pheromone,has-food-out-nest_follow-nest-pheromone,has-food-out-nest_take-food,has-food-out-nest_drop-food,has-food-out-nest_random-walk-and-lay-food-pheromone,has-food-out-nest_follow-nest-pheromone-and-lay-food-pheromone,food-available-in-nest,food-available-in-nest_random-walk,food-available-in-nest_lay-food-pheromone,food-available-in-nest_follow-food-pheromone,food-available-in-nest_follow-nest-pheromone,food-available-in-nest_take-food,food-available-in-nest_drop-food,food-available-in-nest_random-walk-and-lay-food-pheromone,food-available-in-nest_follow-nest-pheromone-and-lay-food-pheromone,food-available-out-nest,food-available-out-nest_random-walk,food-available-out-nest_lay-food-pheromone,food-available-out-nest_follow-food-pheromone,food-available-out-nest_follow-nest-pheromone,food-available-out-nest_take-food,food-available-out-nest_drop-food,food-available-out-nest_random-walk-and-lay-food-pheromone,food-available-out-nest_follow-nest-pheromone-and-lay-food-pheromone,food-not-available,food-not-available_random-walk,food-not-available_lay-food-pheromone,food-not-available_follow-food-pheromone,food-not-available_follow-nest-pheromone,food-not-available_take-food,food-not-available_drop-food,food-not-available_random-walk-and-lay-food-pheromone,food-not-available_follow-nest-pheromone-and-lay-food-pheromone,Epsilon
1,500,-4879.54,11678,0,11728,742,60,58,0,734,58,0,0,0,0,0,58,0,0,1476,0,0,0,742,0,0,0,734,130,70,0,60,0,0,0,0,0,60,0,0,0,0,60,0,0,0,23276,11608,0,11668,0,0,0,0,0,0.9995
2,1000,-5211.78,11631,0,11980,648,53,53,0,635,53,0,0,0,0,0,53,0,0,1283,0,0,0,648,0,0,0,635,88,39,0,49,0,0,0,0,0,53,0,0,0,0,53,0,0,0,23523,11592,0,11931,0,0,0,0,0,0.999
3,1500,-5847.08,11904,0,12062,480,40,40,0,474,40,0,0,0,0,0,40,0,0,954,0,0,0,480,0,0,0,474,81,36,0,45,0,0,0,0,0,40,0,0,0,0,40,0,0,0,23885,11868,0,12017,0,0,0,0,0,0.9985
4,2000,-5266.83,11879,0,11771,623,51,48,0,628,48,0,0,0,0,0,48,0,0,1251,0,0,0,623,0,0,0,628,71,36,0,35,0,0,0,0,0,51,0,0,0,0,51,0,0,0,23579,11843,0,11736,0,0,0,0,0,0.998
5,2500,-4924.99,11742,0,11829,675,58,53,0,643,53,0,0,0,0,0,53,0,0,1318,0,0,0,675,0,0,0,643,86,36,0,50,0,0,0,0,0,58,0,0,0,0,58,0,0,0,23485,11706,0,11779,0,0,0,0,0,0.9975
6,3000,-4754.7,11575,0,11695,831,63,61,0,775,61,0,0,0,0,0,61,0,0,1606,0,0,0,831,0,0,0,775,94,46,0,48,0,0,0,0,0,63,0,0,0,0,63,0,0,0,23176,11529,0,11647,0,0,0,0,0,0.997
7,3500,-4810.8,11798,0,11634,704,62,60,0,742,60,0,0,0,0,0,60,0,0,1446,0,0,0,704,0,0,0,742,107,52,0,55,0,0,0,0,0,62,0,0,0,0,62,0,0,0,23325,11746,0,11579,0,0,0,0,0,0.9965
8,4000,-4544.16,11589,0,11672,802,67,64,0,806,64,0,0,0,0,0,64,0,0,1608,0,0,0,802,0,0,0,806,96,48,0,48,0,0,0,0,0,67,0,0,0,0,67,0,0,0,23165,11541,0,11624,0,0,0,0,0,0.996
9,4500,-4772.26,11748,0,11705,702,62,57,0,726,57,0,0,0,0,0,57,0,0,1428,0,0,0,702,0,0,0,726,100,51,0,49,0,0,0,0,0,62,0,0,0,0,62,0,0,0,23353,11697,0,11656,0,0,0,0,0,0.9955
10,5000,-5176.0,11756,0,11845,680,54,52,0,613,52,0,0,0,0,0,52,0,0,1293,0,0,0,680,0,0,0,613,84,41,0,43,0,0,0,0,0,54,0,0,0,0,54,0,0,0,23517,11715,0,11802,0,0,0,0,0,0.995
