Episode,Tick,Avg reward X episode,random-walk,lay-food-pheromone,follow-food-pheromone,follow-nest-pheromone,take-food,drop-food,random-walk-and-lay-food-pheromone,follow-nest-pheromone-and-lay-food-pheromone,has-food-in-nest,has-food-in-nest_random-walk,has-food-in-nest_lay-food-pheromone,has-food-in-nest_follow-food-pheromone,has-food-in-nest_follow-nest-pheromone,has-food-in-nest_take-food,has-food-in-nest_drop-food,has-food-in-nest_random-walk-and-lay-food-pheromone,has-food-in-nest_follow-nest-pheromone-and-lay-food-pheromone,has-food-out-nest,has-food-out-nest_random-walk,has-food-out-nest_lay-food-pheromone,has-food-out-nest_follow-food-pheromone,has-food-out-nest_follow-nest-pheromone,has-food-out-nest_take-food,has-food-out-nest_drop-food,has-food-out-nest_random-walk-and-lay-food-pheromone,has-food-out-nest_follow-nest-pheromone-and-lay-food-pheromone,food-available-in-nest,food-available-in-nest_random-walk,food-available-in-nest_lay-food-pheromone,food-available-in-nest_follow-food-pheromone,food-available-in-nest_follow-nest-pheromone,food-available-in-nest_take-food,food-available-in-nest_drop-food,food-available-in-nest_random-walk-and-lay-food-pheromone,food-available-in-nest_follow-nest-pheromone-and-lay-food-pheromone,food-available-out-nest,food-available-out-nest_random-walk,food-available-out-nest_lay-food-pheromone,food-available-out-nest_follow-food-pheromone,food-available-out-nest_follow-nest-pheromone,food-available-out-nest_take-food,food-available-out-nest_drop-food,food-available-out-nest_random-walk-and-lay-food-pheromone,food-available-out-nest_follow-nest-pheromone-and-lay-food-pheromone,food-not-available,food-not-available_random-walk,food-not-available_lay-food-pheromone,food-not-available_follow-food-pheromone,food-not-available_follow-nest-pheromone,food-not-available_take-food,food-not-available_drop-food,food-not-available_random-walk-and-lay-food-pheromone,food-not-available_follow-nest-pheromone-and-lay-food-pheromone,Epsilon
1,500,6860.31,7936,0,7969,508,91,91,7880,525,91,0,0,0,0,0,91,0,0,1033,0,0,0,508,0,0,0,525,206,68,0,64,0,0,0,74,0,91,0,0,0,0,91,0,0,0,23579,7868,0,7905,0,0,0,7806,0,0.9995
2,1000,7623.22,7859,0,7889,622,103,103,7832,592,103,0,0,0,0,0,103,0,0,1214,0,0,0,622,0,0,0,592,249,85,0,80,0,0,0,84,0,103,0,0,0,0,103,0,0,0,23331,7774,0,7809,0,0,0,7748,0,0.999
3,1500,6986.99,8015,0,7892,524,91,91,7844,543,91,0,0,0,0,0,91,0,0,1067,0,0,0,524,0,0,0,543,268,93,0,91,0,0,0,84,0,91,0,0,0,0,91,0,0,0,23483,7922,0,7801,0,0,0,7760,0,0.9985
4,2000,7131.42,7964,0,7781,542,94,94,7994,531,94,0,0,0,0,0,94,0,0,1073,0,0,0,542,0,0,0,531,250,78,0,83,0,0,0,89,0,94,0,0,0,0,94,0,0,0,23489,7886,0,7698,0,0,0,7905,0,0.998
5,2500,6979.6,7876,0,8078,517,92,92,7801,544,92,0,0,0,0,0,92,0,0,1061,0,0,0,517,0,0,0,544,206,71,0,70,0,0,0,65,0,92,0,0,0,0,92,0,0,0,23549,7805,0,8008,0,0,0,7736,0,0.9975
6,3000,6786.65,7904,0,7833,585,94,94,7961,529,94,0,0,0,0,0,94,0,0,1114,0,0,0,585,0,0,0,529,260,75,0,86,0,0,0,99,0,94,0,0,0,0,94,0,0,0,23438,7829,0,7747,0,0,0,7862,0,0.997
7,3500,7129.41,7919,0,7941,532,96,96,7863,553,96,0,0,0,0,0,96,0,0,1085,0,0,0,532,0,0,0,553,225,76,0,74,0,0,0,75,0,96,0,0,0,0,96,0,0,0,23498,7843,0,7867,0,0,0,7788,0,0.9965
8,4000,7311.43,7859,0,7861,547,93,93,8011,536,93,0,0,0,0,0,93,0,0,1083,0,0,0,547,0,0,0,536,233,77,0,86,0,0,0,70,0,93,0,0,0,0,93,0,0,0,23498,7782,0,7775,0,0,0,7941,0,0.996
9,4500,7452.45,8036,0,7868,553,95,95,7830,523,95,0,0,0,0,0,95,0,0,1076,0,0,0,553,0,0,0,523,223,82,0,70,0,0,0,71,0,95,0,0,0,0,95,0,0,0,23511,7954,0,7798,0,0,0,7759,0,0.9955
10,5000,7357.37,7856,0,7954,557,97,97,7862,577,97,0,0,0,0,0,97,0,0,1134,0,0,0,557,0,0,0,577,233,75,0,72,0,0,0,86,0,97,0,0,0,0,97,0,0,0,23439,7781,0,7882,0,0,0,7776,0,0.995
11,5500,7623.72,7765,0,7962,560,99,99,7912,603,99,0,0,0,0,0,99,0,0,1163,0,0,0,560,0,0,0,603,215,73,0,77,0,0,0,65,0,99,0,0,0,0,99,0,0,0,23424,7692,0,7885,0,0,0,7847,0,0.9945
12,6000,7043.68,8000,0,7899,529,96,96,7823,557,96,0,0,0,0,0,96,0,0,1086,0,0,0,529,0,0,0,557,289,97,0,75,0,0,0,117,0,96,0,0,0,0,96,0,0,0,23433,7903,0,7824,0,0,0,7706,0,0.994
13,6500,6788.76,7911,0,7875,565,90,90,7960,509,90,0,0,0,0,0,90,0,0,1074,0,0,0,565,0,0,0,509,198,65,0,68,0,0,0,65,0,90,0,0,0,0,90,0,0,0,23548,7846,0,7807,0,0,0,7895,0,0.9935
14,7000,7346.96,7817,0,7870,520,96,96,8002,599,96,0,0,0,0,0,96,0,0,1119,0,0,0,520,0,0,0,599,203,81,0,66,0,0,0,56,0,96,0,0,0,0,96,0,0,0,23486,7736,0,7804,0,0,0,7946,0,0.993
15,7500,7274.92,8014,0,7825,553,98,98,7852,560,98,0,0,0,0,0,98,0,0,1113,0,0,0,553,0,0,0,560,244,77,0,79,0,0,0,88,0,98,0,0,0,0,98,0,0,0,23447,7937,0,7746,0,0,0,7764,0,0.9925
16,8000,7445.16,7832,0,7894,551,97,97,7971,558,97,0,0,0,0,0,97,0,0,1109,0,0,0,551,0,0,0,558,231,73,0,84,0,0,0,74,0,97,0,0,0,0,97,0,0,0,23466,7759,0,7810,0,0,0,7897,0,0.992
17,8500,7035.53,7976,0,7903,514,92,92,7869,554,92,0,0,0,0,0,92,0,0,1068,0,0,0,514,0,0,0,554,203,63,0,78,0,0,0,62,0,92,0,0,0,0,92,0,0,0,23545,7913,0,7825,0,0,0,7807,0,0.9915
18,9000,7159.6,7900,0,8054,552,95,95,7764,540,95,0,0,0,0,0,95,0,0,1092,0,0,0,552,0,0,0,540,198,69,0,67,0,0,0,62,0,95,0,0,0,0,95,0,0,0,23520,7831,0,7987,0,0,0,7702,0,0.991
19,9500,7415.18,7940,0,7694,545,99,99,8027,596,99,0,0,0,0,0,99,0,0,1141,0,0,0,545,0,0,0,596,231,81,0,68,0,0,0,82,0,99,0,0,0,0,99,0,0,0,23430,7859,0,7626,0,0,0,7945,0,0.9905
20,10000,7510.39,7868,0,7833,587,98,98,7937,579,98,0,0,0,0,0,98,0,0,1166,0,0,0,587,0,0,0,579,216,80,0,67,0,0,0,69,0,98,0,0,0,0,98,0,0,0,23422,7788,0,7766,0,0,0,7868,0,0.99
21,10500,6643.54,7853,0,7926,537,89,89,8032,474,89,0,0,0,0,0,89,0,0,1011,0,0,0,537,0,0,0,474,213,68,0,78,0,0,0,67,0,89,0,0,0,0,89,0,0,0,23598,7785,0,7848,0,0,0,7965,0,0.9896
22,11000,6595.06,7920,0,7907,561,92,92,7896,532,92,0,0,0,0,0,92,0,0,1093,0,0,0,561,0,0,0,532,250,98,0,74,0,0,0,78,0,92,0,0,0,0,92,0,0,0,23473,7822,0,7833,0,0,0,7818,0,0.9891
23,11500,7026.66,7932,0,8044,525,94,94,7758,553,94,0,0,0,0,0,94,0,0,1078,0,0,0,525,0,0,0,553,229,67,0,88,0,0,0,74,0,94,0,0,0,0,94,0,0,0,23505,7865,0,7956,0,0,0,7684,0,0.9886
24,12000,6820.35,8009,0,7898,513,85,85,7927,483,85,0,0,0,0,0,85,0,0,996,0,0,0,513,0,0,0,483,255,83,0,82,0,0,0,90,0,85,0,0,0,0,85,0,0,0,23579,7926,0,7816,0,0,0,7837,0,0.9881
25,12500,7305.82,7806,0,8048,570,96,96,7834,550,96,0,0,0,0,0,96,0,0,1120,0,0,0,570,0,0,0,550,213,61,0,61,0,0,0,91,0,96,0,0,0,0,96,0,0,0,23475,7745,0,7987,0,0,0,7743,0,0.9876
26,13000,7434.12,7882,0,7880,576,98,98,7884,582,98,0,0,0,0,0,98,0,0,1158,0,0,0,576,0,0,0,582,233,85,0,72,0,0,0,76,0,98,0,0,0,0,98,0,0,0,23413,7797,0,7808,0,0,0,7808,0,0.9871
27,13500,6963.67,7878,0,7916,543,93,93,7924,553,93,0,0,0,0,0,93,0,0,1096,0,0,0,543,0,0,0,553,213,55,0,80,0,0,0,78,0,93,0,0,0,0,93,0,0,0,23505,7823,0,7836,0,0,0,7846,0,0.9866
28,14000,7469.56,7759,0,7867,526,96,96,8068,588,96,0,0,0,0,0,96,0,0,1114,0,0,0,526,0,0,0,588,208,72,0,63,0,0,0,73,0,96,0,0,0,0,96,0,0,0,23486,7687,0,7804,0,0,0,7995,0,0.9861
29,14500,7513.7,7937,0,7873,574,99,99,7872,546,99,0,0,0,0,0,99,0,0,1120,0,0,0,574,0,0,0,546,213,60,0,78,0,0,0,75,0,99,0,0,0,0,99,0,0,0,23469,7877,0,7795,0,0,0,7797,0,0.9856
30,15000,7136.87,8031,0,7840,563,95,95,7846,530,95,0,0,0,0,0,95,0,0,1093,0,0,0,563,0,0,0,530,233,82,0,66,0,0,0,85,0,95,0,0,0,0,95,0,0,0,23484,7949,0,7774,0,0,0,7761,0,0.9851
31,15500,6672.66,7955,0,7903,518,89,89,7946,500,89,0,0,0,0,0,89,0,0,1018,0,0,0,518,0,0,0,500,254,85,0,83,0,0,0,86,0,89,0,0,0,0,89,0,0,0,23550,7870,0,7820,0,0,0,7860,0,0.9846
32,16000,7606.06,7946,0,7891,542,99,99,7844,579,99,0,0,0,0,0,99,0,0,1121,0,0,0,542,0,0,0,579,222,70,0,80,0,0,0,72,0,99,0,0,0,0,99,0,0,0,23459,7876,0,7811,0,0,0,7772,0,0.9841
33,16500,6938.64,7980,0,7802,520,92,92,7994,520,92,0,0,0,0,0,92,0,0,1040,0,0,0,520,0,0,0,520,236,53,0,108,0,0,0,75,0,92,0,0,0,0,92,0,0,0,23540,7927,0,7694,0,0,0,7919,0,0.9836
34,17000,7434.72,7778,0,7942,592,103,103,7873,609,103,0,0,0,0,0,103,0,0,1201,0,0,0,592,0,0,0,609,221,75,0,70,0,0,0,76,0,103,0,0,0,0,103,0,0,0,23372,7703,0,7872,0,0,0,7797,0,0.9831
35,17500,7182.02,7816,0,7979,546,95,95,7932,537,95,0,0,0,0,0,95,0,0,1083,0,0,0,546,0,0,0,537,240,81,0,72,0,0,0,87,0,95,0,0,0,0,95,0,0,0,23487,7735,0,7907,0,0,0,7845,0,0.9826
36,18000,7651.22,7774,0,7903,571,101,101,7964,586,101,0,0,0,0,0,101,0,0,1157,0,0,0,571,0,0,0,586,258,84,0,84,0,0,0,90,0,101,0,0,0,0,101,0,0,0,23383,7690,0,7819,0,0,0,7874,0,0.9822
37,18500,7516.64,7851,0,7840,577,100,100,7928,604,100,0,0,0,0,0,100,0,0,1181,0,0,0,577,0,0,0,604,213,65,0,60,0,0,0,88,0,100,0,0,0,0,100,0,0,0,23406,7786,0,7780,0,0,0,7840,0,0.9817
38,19000,6946.98,7962,0,7940,513,93,93,7813,586,93,0,0,0,0,0,93,0,0,1099,0,0,0,513,0,0,0,586,199,66,0,73,0,0,0,60,0,93,0,0,0,0,93,0,0,0,23516,7896,0,7867,0,0,0,7753,0,0.9812
39,19500,7382.76,8000,0,7797,606,101,101,7834,561,101,0,0,0,0,0,101,0,0,1167,0,0,0,606,0,0,0,561,244,84,0,85,0,0,0,75,0,101,0,0,0,0,101,0,0,0,23387,7916,0,7712,0,0,0,7759,0,0.9807
40,20000,7033.21,7986,0,7867,524,94,94,7887,548,94,0,0,0,0,0,94,0,0,1072,0,0,0,524,0,0,0,548,297,98,0,106,0,0,0,93,0,94,0,0,0,0,94,0,0,0,23443,7888,0,7761,0,0,0,7794,0,0.9802
41,20500,7275.36,7937,0,7773,573,95,95,7968,559,95,0,0,0,0,0,95,0,0,1132,0,0,0,573,0,0,0,559,240,75,0,79,0,0,0,86,0,95,0,0,0,0,95,0,0,0,23438,7862,0,7694,0,0,0,7882,0,0.9797
42,21000,7215.8,7948,0,7902,552,95,95,7847,561,95,0,0,0,0,0,95,0,0,1113,0,0,0,552,0,0,0,561,254,81,0,83,0,0,0,90,0,95,0,0,0,0,95,0,0,0,23443,7867,0,7819,0,0,0,7757,0,0.9792
