Episode,Tick,Avg reward X episode,random-walk,lay-food-pheromone,follow-food-pheromone,follow-nest-pheromone,take-food,drop-food,random-walk-and-lay-food-pheromone,follow-nest-pheromone-and-lay-food-pheromone,has-food-in-nest,has-food-in-nest_random-walk,has-food-in-nest_lay-food-pheromone,has-food-in-nest_follow-food-pheromone,has-food-in-nest_follow-nest-pheromone,has-food-in-nest_take-food,has-food-in-nest_drop-food,has-food-in-nest_random-walk-and-lay-food-pheromone,has-food-in-nest_follow-nest-pheromone-and-lay-food-pheromone,has-food-out-nest,has-food-out-nest_random-walk,has-food-out-nest_lay-food-pheromone,has-food-out-nest_follow-food-pheromone,has-food-out-nest_follow-nest-pheromone,has-food-out-nest_take-food,has-food-out-nest_drop-food,has-food-out-nest_random-walk-and-lay-food-pheromone,has-food-out-nest_follow-nest-pheromone-and-lay-food-pheromone,food-available-in-nest,food-available-in-nest_random-walk,food-available-in-nest_lay-food-pheromone,food-available-in-nest_follow-food-pheromone,food-available-in-nest_follow-nest-pheromone,food-available-in-nest_take-food,food-available-in-nest_drop-food,food-available-in-nest_random-walk-and-lay-food-pheromone,food-available-in-nest_follow-nest-pheromone-and-lay-food-pheromone,food-available-out-nest,food-available-out-nest_random-walk,food-available-out-nest_lay-food-pheromone,food-available-out-nest_follow-food-pheromone,food-available-out-nest_follow-nest-pheromone,food-available-out-nest_take-food,food-available-out-nest_drop-food,food-available-out-nest_random-walk-and-lay-food-pheromone,food-available-out-nest_follow-nest-pheromone-and-lay-food-pheromone,food-not-available,food-not-available_random-walk,food-not-available_lay-food-pheromone,food-not-available_follow-food-pheromone,food-not-available_follow-nest-pheromone,food-not-available_take-food,food-not-available_drop-food,food-not-available_random-walk-and-lay-food-pheromone,food-not-available_follow-nest-pheromone-and-lay-food-pheromone,Epsilon
1,500,6949.35,11959,0,11822,502,91,91,0,535,91,0,0,0,0,0,91,0,0,1037,0,0,0,502,0,0,0,535,276,145,0,131,0,0,0,0,0,91,0,0,0,0,91,0,0,0,23505,11814,0,11691,0,0,0,0,0,0.9995
2,1000,7099.18,11812,0,11898,547,97,97,0,549,97,0,0,0,0,0,97,0,0,1096,0,0,0,547,0,0,0,549,270,142,0,128,0,0,0,0,0,97,0,0,0,0,97,0,0,0,23440,11670,0,11770,0,0,0,0,0,0.999
3,1500,7050.29,11799,0,11989,509,90,90,0,523,90,0,0,0,0,0,90,0,0,1032,0,0,0,509,0,0,0,523,271,118,0,153,0,0,0,0,0,90,0,0,0,0,90,0,0,0,23517,11681,0,11836,0,0,0,0,0,0.9985
4,2000,7647.4,11837,0,11832,554,99,99,0,579,99,0,0,0,0,0,99,0,0,1133,0,0,0,554,0,0,0,579,365,179,0,186,0,0,0,0,0,99,0,0,0,0,99,0,0,0,23304,11658,0,11646,0,0,0,0,0,0.998
5,2500,7674.79,11788,0,11915,546,96,96,0,559,96,0,0,0,0,0,96,0,0,1105,0,0,0,546,0,0,0,559,306,171,0,135,0,0,0,0,0,96,0,0,0,0,96,0,0,0,23397,11617,0,11780,0,0,0,0,0,0.9975
6,3000,6875.98,11915,0,11895,493,88,88,0,521,88,0,0,0,0,0,88,0,0,1014,0,0,0,493,0,0,0,521,290,149,0,141,0,0,0,0,0,88,0,0,0,0,88,0,0,0,23520,11766,0,11754,0,0,0,0,0,0.997
7,3500,7276.48,11818,0,11918,540,97,97,0,530,97,0,0,0,0,0,97,0,0,1070,0,0,0,540,0,0,0,530,310,160,0,150,0,0,0,0,0,97,0,0,0,0,97,0,0,0,23426,11658,0,11768,0,0,0,0,0,0.9965
8,4000,7296.11,11777,0,11868,566,100,100,0,589,100,0,0,0,0,0,100,0,0,1155,0,0,0,566,0,0,0,589,278,139,0,139,0,0,0,0,0,100,0,0,0,0,100,0,0,0,23367,11638,0,11729,0,0,0,0,0,0.996
9,4500,7653.19,11927,0,11737,553,98,98,0,587,98,0,0,0,0,0,98,0,0,1140,0,0,0,553,0,0,0,587,283,139,0,144,0,0,0,0,0,98,0,0,0,0,98,0,0,0,23381,11788,0,11593,0,0,0,0,0,0.9955
10,5000,7058.93,11944,0,11847,530,92,92,0,495,92,0,0,0,0,0,92,0,0,1025,0,0,0,530,0,0,0,495,273,117,0,156,0,0,0,0,0,92,0,0,0,0,92,0,0,0,23518,11827,0,11691,0,0,0,0,0,0.995
